student_id,attendance,assign_score,midterm_score,pass_fail
S_0001,89.96714153011233,64.87232587538428,52.73012790070132,1
S_0002,83.61735698828815,72.83221993926723,69.37593022121833,1
S_0003,91.47688538100692,63.11370118500058,70.36033744088893,1
S_0004,100.0,70.38057705541439,79.4526069168681,1
S_0005,82.65846625276664,46.59577999569321,42.66283273438347,0
S_0006,82.6586304305082,78.19940561059408,81.85134547694662,1
S_0007,100.0,75.01808213043337,15.912167367944496,1
S_0008,92.67434729152909,62.74367053397714,57.40230895272379,1
S_0009,80.30525614065049,84.88868502648607,60.23452315096911,1
S_0010,90.42560043585965,89.06355206439838,82.66653652142477,1
S_0011,80.36582307187538,50.88660203446539,70.45261705353738,0
S_0012,80.34270246429743,63.55912832150678,41.88873892287427,0
S_0013,87.41962271566034,63.46286475319053,50.3001374836597,0
S_0014,65.86719755342202,60.901453483367035,73.97360019094813,1
S_0015,67.75082167486967,87.44212262897622,68.41865316270888,1
S_0016,79.37712470759027,72.09260791840795,58.417517807285066,1
S_0017,74.87168879665576,71.03227738034084,60.38332420976041,1
S_0018,88.14247332595274,44.9420645338987,83.92335994318579,1
S_0019,75.91975924478788,84.53127045313839,59.646148542615705,0
S_0020,70.87696298664709,56.41112407719791,68.23817511941853,1
S_0021,99.65648768921554,75.89898945399493,100.0,1
S_0022,82.74223699513465,79.16065406937288,41.526347262321536,0
S_0023,85.67528204687923,95.40987893757976,32.96314536850683,1
S_0024,70.75251813786544,55.36769401321332,85.67179329597214,1
S_0025,79.55617275474818,29.707317662687622,56.42713877411793,0
S_0026,86.10922589709867,77.75774317130542,63.63524944514759,0
S_0027,73.49006422577698,100.0,54.37687243737771,1
S_0028,88.75698018345672,93.58419529409156,64.80399718464975,1
S_0029,78.99361310081196,78.14489122911938,100.0,1
S_0030,82.08306250206724,67.62545721551929,86.04256917236239,1
S_0031,78.98293387770603,87.10683894955966,87.24447023773955,1
S_0032,100.0,60.39680700443297,41.67545888414709,1
S_0033,84.86502775262066,82.14536654034329,46.976925268942615,1
S_0034,74.422890710441,82.5820523874994,13.218426810291461,0
S_0035,93.22544912103189,90.90314861248319,53.81238357834492,1
S_0036,72.79156350028978,100.0,89.13406372771317,1
S_0037,87.08863595004756,80.88623950768151,80.33893031496741,1
S_0038,65.40329876120225,67.36554561438751,65.56973474095753,0
S_0039,71.71813951101569,74.61638531712008,69.55399432563894,1
S_0040,86.96861235869123,48.46386142666323,56.22228914849188,1
S_0041,92.3846657999541,64.57930303366413,74.09517764803569,1
S_0042,86.7136828118997,68.86076342830344,85.3175655896123,1
S_0043,83.8435171761176,67.13867403098111,37.68226425179054,1
S_0044,81.98896304410711,77.28532308050583,75.99295375674696,1
S_0045,70.21478009632573,62.66370101426699,88.64869741909334,1
S_0046,77.80155791605291,91.81546000986707,61.69799422073261,1
S_0047,80.39361229040213,75.00310597377296,84.01401224241167,1
S_0048,95.57122226218915,74.8604951829206,100.0,1
S_0049,88.43618289568461,70.08157925230623,67.91314414026216,1
S_0050,67.36959844637266,77.32786025788468,77.86614100010648,1
S_0051,88.24083969394795,87.37647397001452,55.23885832677217,1
S_0052,81.14917719583684,61.9930467643365,73.625023252041,1
S_0053,78.23077999694041,65.12825266387115,79.20543249964608,1
S_0054,91.11676288840867,70.44410956835003,73.89684680540276,1
S_0055,95.30999522495951,54.811936147901775,49.60609360582286,0
S_0056,94.31280119116198,62.71113210417753,74.12723542650902,1
S_0057,76.60782476777362,67.85668689683011,99.24391877435274,1
S_0058,81.90787624148786,88.11583771069091,78.97271529029055,1
S_0059,88.31263431403563,78.93841993502888,89.23974378143681,1
S_0060,94.75545127122359,77.90384867051317,65.25976059974745,1
S_0061,80.2082576215471,87.76346943251959,84.9980047884742,1
S_0062,83.14341023336183,72.93942317400905,75.58535676433051,1
S_0063,73.93665025993971,80.85697274893334,50.98178540625536,0
S_0064,73.0379337591933,73.45167370601256,76.3704200959775,1
S_0065,93.12525822394198,78.98043524099442,50.16606673119379,1
S_0066,98.56240028570824,66.25862013582626,57.34239450230416,1
S_0067,84.27989878419666,38.41774262585356,73.78656614584749,1
S_0068,95.03532897892025,72.98581256720544,75.94488546760248,1
S_0069,88.61636025047635,96.34122204149911,46.21535069845742,1
S_0070,78.54880245394875,88.89323103362388,91.07971542365752,1
S_0071,88.61395605508415,89.48096226886756,81.44012556600946,1
S_0072,100.0,93.54196082709326,55.90543128778232,1
S_0073,84.64173960890048,76.32986386442157,39.24830407101649,0
S_0074,100.0,77.95973561108394,67.10190841837138,1
S_0075,58.80254895910256,65.73522156848475,61.0811257227768,0
S_0076,93.21902504375224,70.25890715959426,72.26280914106046,1
S_0077,85.87047068238171,84.23656724656712,62.73766677688867,1
S_0078,82.00992649534132,93.05826655753225,29.850862785099803,0
S_0079,85.91760776535503,72.908305864785,62.233061233976834,1
S_0080,65.12431085399108,68.24716102722883,63.88761777863375,1
S_0081,82.80328112162488,75.00791938284895,82.67322049548117,1
S_0082,88.57112571511746,84.01810123393673,56.03600650777901,1
S_0083,99.77894044741517,53.34217775799687,100.0,1
S_0084,79.81729781726352,40.55728570294143,31.767188986964857,0
